Id,Label,name,city,country,icao,latitude,longitude,altitude,timezone,dst,tz database time zone,type,source,weighted indegree,weighted outdegree,Weighted Degree,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,stat_inf_class,nodecolor-multimode,giantcomponent,pageranks,eigencentrality
7367,OPS,Presidente Jo�o Batista Figueiredo Airport,Sinop,Brazil,SWSI,-11.885,-55.586109,1227,-4,S,America/Campo_Grande,airport,OurAirports,3,3,6,6,3,3,6,9,0.237079,0.249448,0,85,blue,0,0.000091,0.000556
7368,GRP,Gurupi Airport,Gurupi,Brazil,SWGI,-11.7396,-49.132198,1148,-3,S,America/Fortaleza,airport,OurAirports,1,1,2,6,1,1,2,10,0.191626,0.197942,0.000107,85,red,0,0.0001,0.000056
7369,CMP,Santana do Araguaia Airport,Santana do Araguaia,Brazil,SNKE,-9.31997,-50.328499,597,-3,S,America/Belem,airport,OurAirports,1,0,1,6,1,0,1,0,0,0,0,85,red,0,0.000112,0.000056
7370,BVS,Breves Airport,Breves,Brazil,SNVS,-1.63653,-50.4436,98,-3,S,America/Belem,airport,OurAirports,1,0,1,6,1,0,1,0,0,0,0,85,red,0,0.000054,0.000125
7371,SFK,Soure Airport,Soure,Brazil,SNSW,-0.699431,-48.521,43,-3,S,America/Belem,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2493,0.000039,0
7372,PIN,Parintins Airport,Parintins,Brazil,SWPI,-2.67302,-56.777199,87,-4,S,America/Boa_Vista,airport,OurAirports,1,1,2,6,1,1,2,9,0.216322,0.225669,0,85,red,0,0.000059,0.00015
7373,BRA,Barreiras Airport,Barreiras,Brazil,SNBR,-12.0789,-45.008999,2447,-3,S,America/Fortaleza,airport,OurAirports,6,6,12,6,6,6,12,9,0.242957,0.255298,0,85,blue,0,0.000123,0.001634
7374,STZ,Santa Terezinha Airport,Santa Terezinha,Brazil,SWST,-10.464722,-50.518612,663,-4,S,America/Campo_Grande,airport,OurAirports,0,1,1,6,0,1,1,12,0.138602,0.141212,0,85,red,0,0.000039,0
7375,MQH,Mina�u Airport,Minacu,Brazil,SBMC,-13.5491,-48.195301,1401,-3,S,America/Sao_Paulo,airport,OurAirports,1,1,2,6,1,1,2,9,0.236976,0.249,0.00016,85,blue,0,0.000124,0.000056
7376,AUX,Aragua�na Airport,Araguaina,Brazil,SWGN,-7.22787,-48.240501,771,-3,S,America/Fortaleza,airport,OurAirports,4,4,8,6,4,4,8,9,0.237079,0.24949,0,85,blue,0,0.000107,0.000516
